dropped_gene,replacement,co_occurrences,pearson_r
GALNT12,HKDC1,32,0.622
GALNT12,GATA3,30,-0.753
GALNT12,SFTPB,28,0.341
GALNT12,LMX1B,27,-0.695
GALNT12,SFTPA1,27,0.38
FOXF1,HKDC1,19,0.502
FOXF1,LMX1B,12,-0.697
FOXF1,NAPSA,12,0.342
FOXF1,GATA3,11,-0.709
FOXF1,SFTPB,11,0.216
TFAP2A,HKDC1,18,-0.744
TFAP2A,SFTPA1,17,-0.138
TFAP2A,GATA3,16,0.717
TFAP2A,LMX1B,15,0.77
TFAP2A,SFTPB,14,-0.16
PAX8,HKDC1,32,0.55
PAX8,SFTPB,29,-0.086
PAX8,GATA3,28,-0.272
PAX8,LMX1B,25,-0.432
PAX8,SFTPA1,25,-0.143
HOXB13,HKDC1,28,-0.216
HOXB13,GATA3,26,-0.239
HOXB13,SFTPB,26,-0.224
HOXB13,LMX1B,24,-0.074
HOXB13,FZD5,23,0.308
NKX2-1,HKDC1,24,0.311
NKX2-1,GATA3,23,-0.369
NKX2-1,FZD5,20,0.316
NKX2-1,LMX1B,20,-0.294
NKX2-1,SFTPA1,20,0.889
MET,HKDC1,35,0.77
MET,GATA3,34,-0.546
MET,SFTPB,31,0.313
MET,LMX1B,29,-0.66
MET,SFTPA1,29,0.266
KLK2,HKDC1,32,-0.414
KLK2,GATA3,32,-0.153
KLK2,SFTPB,28,-0.249
KLK2,LMX1B,25,-0.006
KLK2,SFTPA1,24,-0.114
SCGB2A2,HKDC1,22,-0.56
SCGB2A2,GATA3,21,0.783
SCGB2A2,NAPSA,16,-0.424
SCGB2A2,SFTPA1,15,-0.316
SCGB2A2,LMX1B,14,0.753
OVOL2,HKDC1,32,-0.517
OVOL2,GATA3,31,0.341
OVOL2,SFTPB,29,0.126
OVOL2,SFTPA1,27,0.162
OVOL2,LMX1B,27,0.494
RDH11,HKDC1,32,-0.332
RDH11,GATA3,30,-0.19
RDH11,SFTPB,29,-0.229
RDH11,SFTPA1,27,-0.105
RDH11,FZD5,25,0.315
ACSM2B,GATA3,33,-0.287
ACSM2B,HKDC1,32,0.478
ACSM2B,SFTPB,30,-0.199
ACSM2B,SFTPA1,27,-0.225
ACSM2B,LMX1B,27,-0.435
SFTA3,GATA3,25,-0.326
SFTA3,SFTPB,23,0.94
SFTA3,HKDC1,21,0.335
SFTA3,SFTPA1,20,0.926
SFTA3,FZD5,19,0.269
IHH,GATA3,27,-0.653
IHH,SFTPB,26,-0.102
IHH,HKDC1,25,0.451
IHH,SFTPA1,24,-0.041
IHH,FZD5,22,0.714
MCTP2,LMX1B,20,-0.693
MCTP2,HKDC1,20,0.523
MCTP2,SFTPB,19,0.278
MCTP2,GATA3,17,-0.76
MCTP2,NAPSA,16,0.411
C8ORF85,LMX1B,22,0.689
C8ORF85,SFTPA1,20,-0.157
C8ORF85,HKDC1,20,-0.55
C8ORF85,GATA3,19,0.698
C8ORF85,SFTPB,19,-0.134
SLC45A3,HKDC1,27,-0.241
SLC45A3,GATA3,26,-0.32
SLC45A3,SFTPB,24,-0.152
SLC45A3,LMX1B,23,-0.154
SLC45A3,SFTPA1,22,-0.003
HNF1B,LMX1B,5,-0.839
HNF1B,SHH,5,0.755
HNF1B,HKDC1,5,0.783
HNF1B,FZD5,4,0.746
HNF1B,GATA3,4,-0.795
TRPS1,GATA3,8,0.864
TRPS1,FZD5,7,-0.774
TRPS1,C20ORF56,7,-0.644
TRPS1,SFTPA1,6,-0.326
TRPS1,HKDC1,5,-0.714
TCF21,GATA3,7,-0.736
TCF21,EFHD1,6,-0.664
TCF21,HKDC1,5,0.505
TCF21,FZD5,4,0.75
TCF21,KLK3,4,0.444
