,BRCA,COAD,KIRC,LUAD,PRAD
RDH11,-0.417671319305275,-0.5183112607132153,-0.2903879874036355,-0.46686765469375757,2.0153643808758512
TRPS1,1.1309312991068599,-1.4395694047771972,-0.493154788581384,-0.7026555113617152,-0.41085652854890664
TCF21,-1.173536415612428,0.5302502687967946,0.5084004142063907,0.6515835305015224,1.0647382939047514
ACSM2B,-0.4511152330322729,-0.4644229596694219,2.012813246630324,-0.4452934816121965,-0.4342151716736883
HNF1B,-1.180013777419718,0.6938145858174894,1.1791897691158062,0.6411175157115699,0.27637922486006034
C8ORF85,1.0387100419121886,-1.0338995485226439,-0.5896488462688172,-0.33460491196547926,-0.7186424152448594
SFTA3,-0.475365371155779,-0.41022673123810866,-0.49753141266233364,2.0516799406794637,-0.30710315736199595
SCGB2A2,1.0546303551363336,-0.662710182159225,-0.5905187806718906,-0.6600932373545709,-0.6291747689160905
MCTP2,-1.0227160304922716,0.565370989470164,0.4492774058230641,0.6501692621820103,0.7765017205918211
IHH,-0.8993230223629027,1.814746113179192,0.28005957511621676,-0.26884234683284763,0.9189577912370775
FOXF1,-1.0968759867985902,0.855376174692663,0.4437982568094535,0.4589237170804595,0.9773544997586853
GALNT12,-0.9716762805179278,1.134937069600947,0.27032747958925846,0.7732206193449994,0.4004903666771048
SLC45A3,-0.5281625512402728,-0.07183234832747629,-0.5344415911020876,-0.26078711362971135,2.050505235229276
NKX2-1,-0.5329444607763729,-0.30558193252143934,-0.5632993458266398,1.9639464391579595,-0.07878744198780102
OVOL2,0.4965837669254376,0.4134785898588113,-1.9858981915119687,0.3104902047600977,0.4739919750656056
MET,-0.7104160178248226,0.7382101544251792,1.089465546453527,0.6895030792619552,-0.7395995064213275
TFAP2A,0.9347680928210869,-0.850699162709071,-1.2892409298733505,-0.32097276717901363,0.14150050991902463
KLK2,-0.3546565908549199,-0.465681468270847,-0.5548937615995839,-0.49081985268847833,2.1544744047493984
HOXB13,-0.34681932809079213,0.5388240973777014,-0.692860151605805,-0.47682005699776303,1.692583302264212
PAX8,-0.42956057230663275,0.02148614588912354,1.7119152214234092,-0.24779684245467382,-0.6433652496145135
SCGB3A2,-0.37518531054986076,-0.46972871219779966,-0.4038627039728814,1.9395521356784688,-0.47824915753540365
C9ORF152,0.2110870860935014,0.7449499008282121,-1.796009654272063,0.1919965513817966,0.8325487257222212
SCTR,-0.6296536205047197,-0.5397722610828706,0.7219735171291279,1.5231393741053867,-0.6521605109270034
BEND4,-0.5308227739246808,-0.4860960400650532,-0.31460361812253823,-0.1860993523960912,1.9816115601554913
SLC6A13,-0.5470779792373286,-0.5653084429327935,1.9637566793939039,-0.31115576978966997,-0.2507330599057067
FZD5,-1.0689333814701212,1.0912210008940677,0.4027124973649,0.5368659021111929,0.7432575704914709
KLK3,-0.40952842262449857,-0.21652986955560102,-0.5088449185547053,-0.5445847847898615,2.1385427124112932
EFHD1,0.9885166833584087,-1.464603668991072,0.11782538045315849,-0.7658156940186192,-0.6718953675547358
SLC22A2,-0.4895255638170012,-0.3846253944587179,1.9916493542874,-0.5487389267509931,-0.265465095042216
C20ORF56,-0.7554285692423143,1.4901850669818129,-0.6302531011922712,1.1343295748079683,0.31037702859436234
C9ORF167,-0.6215300496060607,1.3407088236847873,0.6943321731649328,0.9221084078850156,-1.0997769366473058
PAX2,-0.05632605506376278,-0.7975294664421763,1.7060050123083204,-0.9234678069443542,-0.28939968043578457
SFTPA2,-0.5352808595413046,-0.33549203373225,-0.9422150112264801,1.5743111055528003,0.7536905557107934
SLC17A3,-0.4543869568123633,-0.47929207471455504,1.9825865124539397,-0.38128097137777417,-0.4523518830721766
SFTPB,-0.43194474368656066,-0.3779700419937558,-0.4094673328114135,2.0447248195302667,-0.5087412028877947
HHLA2,-0.835121845334721,1.0623895153997969,1.2916085999504803,0.38441211885698534,-0.551537951825153
GATA3,1.1199450024938569,-1.1249132065347613,-0.6101334177363688,-0.6683409812187157,-0.47778224081627735
KLK15,-0.5411047329669877,0.6240539390885814,-0.4288473739318592,-0.5079204676513613,1.821463091814057
EMX2OS,0.07706898380969449,-0.862321409982225,1.6802796878901078,-1.0582239209007394,-0.37932496250675873
HKDC1,-0.8769622524042942,1.3709632684006436,1.0474413931788789,0.786483359495941,-0.7915354055931968
SLC3A1,-0.6507562571852841,0.5335166804985971,1.8392561043366469,-0.5943069023137261,-0.2272869324149024
SFTPA1,-0.4864483044145287,-0.4648680681080911,-0.5069816560013785,2.003147775254024,-0.19077228206325497
SFTPD,-0.42716732055271567,-1.2487971499538055,-0.16944653910289134,1.7115213255205115,0.06969830630159243
CDH16,-0.5608944430735399,-0.042773944794303555,1.9843217964011262,-0.2981319327949383,-0.5564809252103894
SHH,-0.948358030586132,1.5511526228783414,0.5705426699143551,0.3668207322940257,0.20866637668813723
LMO7,-0.7932069797717831,1.055922552426515,-0.14471753646019522,1.1565262716369904,0.09995497757724055
PRAC,-0.49700119730794523,0.20410771950493295,-0.5031975064195049,-0.49785857137423095,2.035084388023599
SLC28A1,-0.32116903630941135,-0.5700182552668153,1.9493713536105541,-0.4043461510488138,-0.6346660157878417
ACPP,-0.5079200647170553,-0.14751492069025873,-0.7498743153477689,-0.019070568091056925,2.0299435230568976
C15ORF21,-0.3356800233567352,-0.2740321079184505,-0.7053115763918935,-0.2876530278992606,1.9530916460201808
TMEFF2,-0.45927048000970777,-0.4172132991919882,-0.4526299419015294,-0.38109821829842816,2.134124872428099
LMX1B,1.0982539787415053,-1.056004834694571,-0.9622956503064173,-0.592715778211805,-0.17025155847963702
DMGDH,-0.42396549565989317,-1.0324459085531157,1.7697625254944362,-0.19095573659631437,-0.1701640707370919
EN1,0.971582438404063,-0.6921958247741419,-0.17760147198452464,-0.7811733562741284,-0.7462617022030623
CAPN5,-0.9221679357747617,1.4003749327879982,0.05790102824273781,0.311390969352065,0.8448358098548829
IGSF9,0.6165202305901848,0.17695659951029502,-1.8952068243060285,0.2521502173800077,0.30856256536627097
TMEM140,-0.3177015370102941,-0.9238969933416145,1.7601350788400096,-0.1553686085787968,-0.4937304575606764
NKX3-1,-0.08297555238197003,-0.9359917864687186,-0.7067202832437987,-0.4420194592778332,1.93770576336035
DHDPSL,-0.4176443080047137,-0.4045393752830411,1.6711392255161357,-0.35984458030070887,-0.2646744087185307
AGXT2,-0.4109797381849033,-0.4723743109402033,1.9793848248570836,-0.4347586518768089,-0.49329493000911784
ADIPOQ,0.9545245553019306,-0.3435760743844369,-0.5371140471809086,-0.6618814223099407,-0.6472836222439139
FOLH1,-0.4852421921090651,-0.8878762098746958,0.45494280298014816,-0.6231749586240131,1.7398267011484267
ACSM3,-1.0105205870230967,0.3831248131310977,0.6702263257979605,0.19306091486468277,1.0911677758615983
HSD17B11,-0.9748060983865856,0.8826014110498391,0.5507973226453873,0.8044910661098331,0.21941733270270997
PAGE4,-0.42564710875863676,-0.42936190906447513,-0.4235901341911825,-0.3835892152202032,2.0383387759818277
ARSE,-0.5128493483719827,0.9540660778216085,1.1616819179400744,0.4261405857997698,-1.1044386862009055
ALDH1A3,-0.34581602534140193,-0.41435772336864785,-0.5020385030475549,-0.21360070042171966,1.7614836449185058
SFTA2,-0.5126930983165383,0.36415498100022853,-0.4652776654849884,1.9320579241479052,-0.5809674666911342
STEAP2,-0.3536449285739359,-0.3048686464815399,-0.5447944873856325,-0.22745862023395264,1.7759709672763375
C17ORF93,-0.38295937436107724,0.33154766988430534,-0.6373042355618851,-0.48914153251475867,1.8448186054059945
GPA33,-0.33052851582864584,2.6640208346198944,-0.31108080830467244,0.20544831917972092,-0.6827363991719034
TESC,-0.8959191483820309,0.8683621701517814,0.07166966966670231,0.7643347570266084,0.6089323768825586
SEL1L3,-0.9421338548395051,0.8902731473237677,0.5929492515646498,0.8580130577006925,0.04222141413385419
HOXA10,-0.4653322985009838,0.9242039228863627,0.47559286195050343,-1.0758840911692942,1.1000734829831595
PRLR,1.0231153639644175,-0.15025727961493235,-0.5165416489757757,-0.9276320964361255,-0.6566131664595745
